UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
draw box draw refE1_15 Flipchartjpg middle,D,"{""label"": """"}

Text: ""you will need to draw a box around",D
I think that picture where you re moving a pen across the paper in sort of patterns repeating patterns,Be,"{""label"": ""Bs""}
Text: ""I think that picture where you re",Bs
instead of doing it all in one go like a wide printer would do it will just do a thin line at a time,Bs,"{""label"": ""Bs""}
Text: ""because it’s a thermal printer that",Bs
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""D""} 

Text: ""and you have got the type",D
but when you scribble backwards and forwards it,Bs,"{""label"": ""F""}

Text: ""but the actual amount of ink that",F
would build up and use that tracking capability to do that,Bs,"{""label"": ""B""}
Text: ""would be more than the normal one",D
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""D""}


Text: ""draw refE1_15",D
and you would not have the angle problem,S,"{""label"": ""Bs""}

Text: ""and you would not have the angle",Bs
yeah the problem is that printing on the ball,S,"{""label"": """"}

Text: ""the first one is the one that is",D
we thought the ball could just be you could just sort of turn it off and on,Bs,"{""label"": ""F""}

Text: ""but the thing is that we have",F
so its like instead of being a unclear speech overlapping thing,S,"{""label"": ""F""}

Text: ""its like this one thing to do",F
there is a bit of that OK,S,"{""label"": ""F""}
Text: ""it s a bit of a problem",F
well I suppose you could make the width of the print very very small,S,"{""label"": """"}


Text: ""so the idea is that the pen is",D
we ve done that ,S,"{""label"": ""Bs""}


Text: ""we ve done that ""
Label",Bs
we did that,S,"{""label"": ""}


Text: ""that is the standard plain thermal paper err",D
with the dots though very very small,S,"{""label"": ""S""}

Text: ""it will be a really big one",S
you can only they ve got such low they will last thermal mass,S,"{""label"": ""Bs""}
Text: ""what s quite important is its about",Bs
you heat them up very very briefly and then,Bs,"{""label"": ""Bs""}


Text: ""you have to use the heat",Bs
they ll go cold again,Bs,"{""label"": """"}

Text: ""they can be heated up again""
Label",D
probably why you get spots appearing on the second one erm,Bs,"{""label"": ""F""}

Text: ""and then it is a matter of",F
but you can make it,S,"{""label"": """"}

Text: ""and then you can have the second one",D
clears throat erm at the moment what we have got available for a demonstrator is one of the types on the left,S,"{""label"": ""F""}
Text: ""one of the types on the left",F
so we do have this constraint of what that angle needs to be ,Bs,"{""label"": """"}

Text: ""we can actually use a metal plate as",D
so that is going to,Bs,"{""label"": ""F""}
Text: ""it is because""
Label (JSON",F
that angle here,S,"{""label"": """"}

Text: ""because of the way it is made""",D
yes that is going to limit us for the time being,Be,"{""label"": ""F""}

Text: ""and I think we could do that",F
we could open up more options by going for alternatives,S,"{""label"": ""Bs""}
Text: ""we could open up more options by",Bs
or whatever that would be good so you just mentioned how windsurfs have sort of a base,S,"{""label"": ""Bs""}
Text: ""or whatever that would be good so",Bs
to keep the to hold on to rather than actual hands are stabilised like a platform,Bs,"{""label"": ""Bs""}
Text: ""so the the the is the one",Bs
Sarah refers to a photograph,S,"{""label"": ""S""}

Text: ""Sarah will refer to a photograph""",S
a man s shaver,S,"{""label"": ""S""}

Text: ""the man uses it to shave his",S
that has an angle joint,S,"{""label"": ""S""}
Text: ""that has a thermal print""
Label",S
and a guidance for your fingers,S,"{""label"": ""F""}

Text: ""and it is also quite a good",F
and similar to the windsurf,Be,"{""label"": ""S""}
Text: ""if the is like this it stays",S
I mean it only moves in one axis,Bs,"{""label"": """"}

Text: ""but what is it about the way it",D
rather than round,Bs,"{""label"": """"}

Text: ""which is about 4mm in diameter",D
it does not its almost flat is not it I suppose,S,"{""label"": ""S""}
Text: ""but its also about the media""",S
yeah it does not move that way I do not think,Bs,"{""label"": ""Bs""}

Text: ""we are looking at it from a",Bs
cos you want to keep flat on the paper all the time,Be,"{""label"": """"}

Text: ""so it would be good if it could",D
does the razor stay flat though,Bs,"{""label"": ""D""}

Text: ""because it is a plastic pen""",D
because the centre piece is much,S,"{""label"": """"}

Text: ""because the centre piece is much larger than",D
I am not sure whether it does completely stay flat I think there might be a little bit of a plain,S,"{""label"": ""Be""}
Text: ""that is the only thing I can",Be
but its main axis is is that the razor has is that way I think,Bs,"{""label"": ""F""}

Text: ""it is not just about the media",F
write razor,D,"{""label"": ""D""}

Text: ""so the pen needs to be able",D
if I if I remember correctly from I don t know about this but from the other razors each blade has like a little spring down each side,S,"{""label"": ""F""}


Text: ""I remember that each blade has",F
which means each blade can independently of housing can move that way a little bit as well cant it so that is,Bs,"{""label"": """"}

Text: ""in this context it means it is a",D
draw E1_7 Sketckjpg,D,"{""label"": """"}

Text: ""the other ideas on the paper there were",D
how s that achieved that,S,"{""label"": """"}

Text: ""it s a problem that is that the",D
is that is that achieved by a plastic,S,"{""label"": ""Bs""}


Text: ""so is it is that one",Bs
that is bendable or is it,Bs,"{""label"": ""F""}
Text: ""it is bendable""
Label (",F
no it s a spring is not it,S,"{""label"": """"}

Text: ""no it s a spring is not it",D
a spring that goes to surface,S,"{""label"": ""Bs""}

Text: ""a spring that goes to surface""",Bs
it pivots,Bs,"{""label"": """"}

Text: ""it pivots""
Label (JSON only",D
write spring pivot,D,"{""label"": ""D""}

Text: ""so the thermal print pen uses a",D
there is f five of the razors is not there,S,"{""label"": ""F""}


Text: ""it is a good idea to",F
I have brought some examples along there is one with a single spring in the centre there,S,"{""label"": ""F""}


Text: ""it is a pen that uses",F
and then there is one,S,"{""label"": """"}

Text: ""a lot of things that have a lot",D
these are electric ones yeah,S,"{""label"": ""D""}

Text: ""and you have got the type where",D
these are electric razors and so this is,S,"{""label"": """"}

Text: ""there are electric razors and so this",D
slightly more expensive version that is got a spring either side,S,"{""label"": """"}

Text: ""slightly more expensive version that is got",D
yeah to give you that adjustment it slides on the surface,Bs,"{""label"": ""Bs""}
Text: ""and you can't do that with",Bs
they do yeah there is its one with the foils basically because on this the foil is sprung this one is well no,S,"Text: ""there are two things to think about when you are designing a",D
the foil will run through rubbers and it uses the the cutting edge that is sprung,Bs,"{""label"": ""Be""}

Text: ""it uses the the cutting edge that",Be
erm there is a point here,Be,"{""label"": ""F""}
Text: ""so it is about the interaction between",F
as well that erm do we need to keep because this will keep an even well a relatively constant pressure won t it,Be,"{""label"": ""}

Text: ""and that s the thing that s really",D
and you could also you could add a switch to this,S,"{""label"": ""Be""}

Text: ""and you could also you could add",Be
so you could switch it on and off,Bs,"{""label"": ""F""}


Text: ""but it is only one of",F
yeah but I think there are other things that we might like to do as well because,S,"{""label"": """"}

Text: ""so what we can do is we can",D
it might control the force on the print heads and make sure it comes on how you want it to,Be,"{""label"": ""Bs""}
Text: ""there are a lot of people who",Bs
so is that what you call a gimble,S,"{""label"": """"}

Text: ""so that is a good point to make",D
gimbles are normally three dimensional,S,"{""label"": """"}

Text: ""the gimbels are made of steel",D
I ve got another one,S,"{""label"": ""Bs""}
Text: ""that is the standard plain thermal paper",Bs
it builds on another one,S,"{""label"": """"}

Text: ""but I think its really important to get",D
and it goes faster,Bs,"{""label"": """"}

Text: ""and it goes faster""
Label (JSON",D
but as well its erm one of the things about this is that you have got the main lump,S,"{""label"": ""S""}

Text: ""but I think it s erm mainly",S
and then you have got steering piece towards the front which is banging near microphone drowns speech,S,"{""label"": ""Bs""}

Text: ""and then you have got the steering",Bs
so you have got,Bs,"{""label"": """"}

Text: ""so you have got a pen""
Label",D
I guess you have kind of got the main unit that has got all the power and weight in it,S,"{""label"": ""}

Text: ""so basically the main unit is the one",D
and then erm the flexible bit that does the steering,Bs,"{""label"": ""Bs""}

Text: ""and it s the one that actually",Bs
write snow mobile ,D,"{""label"": ""D""}
Text: ""it is a snow mobile""
Label",D
draw E1_7 Sketckjpg,D,"{""label"": ""D""}

Text: ""the one on the top left is",D
where I know we re talking about a pen,S,"{""label"": ""S""}

Text: ""the one on the top left is",S
and you immediately think about something that is this sort of shape that you can hold in your hand like that,Bs,"{""label"": ""F""}

Text: ""and you immediately think about something that",F
but considering we re talking about toys in effect for children,Be,"{""label"": ""F""}


Text: ""we re trying to come up",F
could it be something that takes more of the shape of a of a train with,S,"{""label"": """"}

Text: ""and so we have the following set of",D
something else that gets pulled behind it for example,Be,"{""label"": ""Bs""}
Text: ""we need to test how well it",Bs
like a drag on,Be,"{""label"": """"}

Text: ""is this the correct version""
Label (",D
something that is much more of a quite a different shape that,S,"{""label"": """"}

Text: ""but it is a very good shape to",D
does not require them to have that difficult sort of hold,Be,"{""label"": ""F""}
Text: ""but the user has to be able",F
things in place like this erm,S,"{""label"": """"}

Text: ""which is a real main part of the",D
because that is one of the challenges children have is not it,Be,"{""label"": """"}

Text: ""and the other thing is the printout",D
holding the pen at the right angle,Be,"{""label"": ""Bs""}
Text: ""the pen has a wide base""",Bs
that is probably one of the things you want to teach a child though is not,F,"{""label"": ""F""}

Text: ""the user is not capable of keeping",F
yeah well you could take all of the difficult stuff off them and make it happen,Bs,"{""label"": ""Bs""}

Text: ""we are going to do the same",Bs
all that they will do is move the lump around,Be,"{""label"": ""F""}

Text: ""the one on the right is the",F
write move lump,D,"{""label"": ""D""}
Text: ""write corner""
Label (JSON only",D
so you will teach them how to move a mouse about,F,"{""label"": ""F""}

Text: ""because the user will not be able",F
if there is a skill in that there is a sense of achievement,F,"{""label"": """"} 

Text: ""because of the high level of skill",D
we could have like a mouse rather than a pen,S,"{""label"": ""Bs""}

Text: ""we could have like a pen that",Bs
that could just be a different starting point,Be,"{""label"": ""F""}

Text: ""now we are going to use a",F
write mouse type pen,D,"{""label"": ""D""}

Text: ""the one on the top left is",D
all they have to do is put it on the table then move it around,Be,"{""label"": ""F""}

Text: ""but what if the pen is not",F
and it does everything else,Be,"{""label"": """"}

Text: ""this is the main focus of the project",D
I was thinking a different media than just a flat piece of paper,S,"{""label"": """"}

Text: ""one is with respect to that in this",D
a pens quite a nice sort of you know to get round angles and,Bs,"{""label"": """"}

Text: ""but what about the paper it has to",D
do you think a mouse would allow you to apply that constant force that we need for this though,Bs,"{""label"": ""F""}

Text: ""because of the way the pen is",F
I don t see why not I mean as long as the force is not going to push the mouse into the table then gravity should be on your side should not it,Bs,"{""label"": ""B""}


Text: ""I m not sure what you",D
can I just clarify that you mean for the main lump to have all the sort of the weighty bits like the batteries and electronics and things like that or the that way,S,"{""label"": ""S""}

Text: ""I was thinking that is sort of",S
I was not really being that prescriptive,S,"{""label"": ""F""}

Text: ""I was not really being that pres",F
if you ever go without it s not too bad but,F,"{""label"": ""D""}

Text: ""we could use a cheap plastic or",D
the means of a toy I have a quick problem because well I do not know,F,"{""label"": """"}

Text: ""there is a design problem with this thermal",D
like a ghost err it is a little ghost it s about you know an inch high,S,"{""label"": ""F""}


Text: ""there are two types of ink",F
draw it,S,"{""label"": ""D""}

Text: ""there are two resistors that need",D
draw refDocumentE1_3Sketchjpg top left 2 sketches,D,"{""label"": ""D""}

Text: ""this is the design for the pen",D
what its got inside is its got errr and I can t remember exactly what its got inside its got a rubber err a wheel,S,"{""label"": """"}

Text: ""but I think it s just a pen",D
draw refDocumentE1_3Sketchjpg top left 2nd sketch,D,"{""label"": """"} 

Text: ""The first thing to consider is the",D
which printed on it has a little erm,Bs,"{""label"": """"}

Text: ""it has a little erm""
Label (",D
I don t know why I am telling you all this because its not really,BS,"{""label"": ""S""}
Text: ""but I know quite a lot of",S
oh yeah yeah yeah yeah yeah you mean one of those foot print things,Bs,"{""label"": ""S""}
Text: ""that is the main thing that we",S
its got its got little footprints,Bs,"{""label"": ""F""}


Text: ""but its also about the media",F
rotating,Bs,"{""label"": ""D""}

Text: ""but the thing that is important is",D
yeah it s a self and yeah its got a pad an inky pad here and he,S,"{""label"": ""S""}
Text: ""so that s the one that we",S
does that go all over the walls and everything,Bs,"{""label"": """"}

Text: ""if the paper is just sitting there it",D
you walk it along a page,Bs,"{""label"": ""S""}
Text: ""it does not matter what you write",S
and it makes footprints,Bs,"{""label"": """"}

Text: ""but the only thing that the paper is",D
that is interesting cos I was thinking pastry brush you know how pastry has,S,"{""label"": """"}

Text: ""and the idea is that you have to",D
and white line machines,S,"{""label"": ""S""}
Text: ""a white line machine""
Label (",S
but I could not think of anything that quite tied into this but the idea of a wheel,Bs,"{""label"": ""F""}

Text: ""the idea of a wheel is that",F
pushing a wheel along,Bs,"{""label"": """"}

Text: ""I think it would be nice if the",D
that is a obviously this is a mechanical way of doing what we re talking about,S,"{""label"": ""F""}
Text: ""it is a mechanical way of doing",F
so it could the thing could look like erm like a character could not it,Be,"{""label"": ""F""}

Text: ""so the thing could the thing could",F
I guess this idea Tom was that this is the print head here,S,"{""label"": ""S""}

Text: ""that is the reason it is so",S
draw refDocumentE1_3Sketchjpg middle bottom circle,D,"{""label"": ""D""}
Text: ""this is a pen that writes smoothly",D
and this quite a wide like a caravan is that angles that can hold that to feel it because,S,"{""label"": ""F""}

Text: ""and that is the reason why it",F
draw u to represent print head and caravan,D,"{""label"": ""S""}
Text: ""it is the part of the pen",S
if you know if he goes crr crrr mimics scraping noise then this digs into the paper,Be,"{""label"": """"}

Text: ""there are two types of media one is",D
draw refDocumentE1_3Sketchjpg middle bottom arrow represents digs into the paper,D,"{""label"": """"}

Text: ""The thermal pen should be able to write",D
so you could even have three wheels could not you three small wheels to sort of drive it,S,"{""label"": """"}

Text: ""but you could have three wheels could not",D
write wheels to guide,D,"{""label"": """"}

Text: ""the one that is not the right one",D
draw refDocumentE1_3Sketchjpg middle circle,D,"{""label"": ""S""}


Text: ""because of the way the resist",S
and you could have a cross section it could be kind of kind of like this,S,"{""label"": """"}

Text: ""you could have a cross section it could",D
draw refDocumentE1_3Sketchjpg middle m,D,"{""label"": ""D""}

Text: ""the drawing has been done in a",D
so you can look down here and you can see a hole with the print head in it,S,"{""label"": ""}

Text: ""the print head is positioned at the bottom",D
so see where you re going,Bs,"{""label"": """"}

Text: ""what is the thermal print paper""
Label",D
draw refDocumentE1_3Sketchjpg middle details,D,"{""label"": """"} 

Text: ""draw refDocumentE1_3",D
you could stick three ball bearings in here and,S,"{""label"": """"}


Text: ""the thing that is the most important thing",D
draw refDocumentE1_3Sketchjpg middle 3 circles within circle,D,"{""label"": """"}

Text: ""it s a erm one that s a",D
and just roll around on the surface,Bs,"{""label"": """"}

Text: ""the one that is the real main""",D
you put in holes to see where your feet are going,S,"{""label"": ""S""}
Text: ""it is a very good pen for",S
its just so you could acquire lots of stuff where you re actually marking,Bs,"Text: ""so its the interaction between the special paper and the thermal pen",D
yeah its sort of it s a compromise between erm here with a pen,Be,"{""label"": ""F""}

Text: ""and erm the pen just doesn t",F
you want to see what you re doing don t you you want to see,Be,"{""label"": """"}

Text: ""now it s the time to get some",D
but with this type of toy you don t do you,Be,"{""label"": ""F""}
Text: ""but with this type of toy you",F
probably aware pattern appears as an edge so you can go right up to,Bs,"{""label"": """"}

Text: ""but I know quite a lot of the",D
rather that the middle of something big if its big than it does not matter much so long as its at an edge of the big thing where the,Be,"{""label"": ""Be""}

Text: ""one way to make it is to",Be
but even with paper suppose you could still get to it its not like hoovering a room when you can t get to an edge is it,Be,"{""label"": ""S""}
Text: ""but what we re going to do",S
it becomes more complex to the user as well you can rotate it so you can get to this corner or,Bs,"{""label"": ""F""}

Text: ""we have a thermal paper that is",F
rotate it to get to that one,Be,"{""label"": ""B""} 

Text: ""you can’t write on it",D
it is an interesting idea,Bs,"{""label"": ""F""}
Text: ""the first thing that comes to mind",F
add some wheels to it,S,"{""label"": """"}

Text: ""we could use the existing design of the",D
I bought erm a tram,S,"{""label"": ""S""}

Text: ""I bought erm a tram because it",S
well the distance between the rails and the what I was thinking the distance between the rails and the overhead wires always changing as it has to follow this articulating,Bs,"{""label"": ""Bs""}

Text: ""one of the things that is a",Bs
yeah nice idea,Be,"{""label"": """"}

Text: ""so what did that generate then""
Label",D
it is a bit like the suspension on a car,S,"{""label"": ""Bs""}
Text: ""the pen is designed to be held",Bs
as well the car sort of has this inertia it flies along in a straight line,Bs,"{""label"": """"}

Text: ""this is the main thing we need to",D
with suspension and all sorts of things as the wheels pump up and down,Bs,"{""label"": """"}

Text: ""if we could make the pen to be",D
as well stay in contact with the road if you have got a decent car,Bs,"{""label"": """"}

Text: ""so there needs to be this contact maintained",D
well that is that is the other thing I suppose we haven t considered anything like erm air pockets,S,"{""label"": ""S""} 

Text: ""so the key thing is that",S
or anything like that that could be like a little suspension,Be,"{""label"": ""Bs""}

Text: ""or even a suspension system""
Label",Bs
draw refDocumentE1_3Sketchjpg 3 lines left ie bottom,D,"{""label"": """"}

Text: ""draw refDocumentE1_3Sketch",D
suspension,S,"{""label"": """"}

Text: ""so the idea is to have a suspension",D
that is the sort of thing about children they do things jerkily quickly,Be,"{""label"": """"}

Text: ""we need to make sure it can do",D
use a gyroscope,S,"{""label"": """"}

Text: ""which is more stable than the others""",D
gyroscope,S,"{""label"": ""S""}
Text: ""to be able to control the pen",S
write GIROSCOPE and Air suspension,D,"{""label"": ""S""} 

Text: ""so it is the interaction between",S
stick a big gyroscope in it,S,"{""label"": ""Bs""}


Text: ""the main idea is to make",Bs
so they cannot jerk it around,Bs,"{""label"": """"}

Text: ""this is a special pen with a special",D
yeah ok that is a good idea Tony,Bs,"{""label"": ""D""}

Text: ""I think we need to think about",D
we should have a target aged child here should not we,Be,"{""label"": ""F""}

Text: ""it is not necessary to use a",F
to because erm well I think well erm like this I say about this obviously it was not a problem,Be,"{""label"": ""}

Text: ""so this is basically the one that I",D
if you do not if you do not let it gimble that way,S,"{""label"": """"}

Text: ""and then we can talk about the different",D
then you would get you can make your own lines cant you you can make different thicknesses,Bs,"{""label"": ""Bs""}
Text: ""you can also get a pen with",Bs
draw refDocumentE1_3Sketchjpg 2 lines right ie top,D,"{""label"": """"}

Text: ""the one on the top left is the",D
so so it might if the if the applications for somebody who got,Be,"{""label"": ""Be""}


Text: ""now it s just a matter",Be
then you add a feature by taking out you know,Be,"{""label"": ""F""}


Text: ""and the paper is not involved",F
yeah because if if if if erm yeah if say if the the pen is printed in just dotted lines,Be,"{""label"": ""F""}

Text: ""but the pen is just a pen",F
draw refDocumentE1_3Sketchjpg dotted line right ie top,D,"{""label"": """"}

Text: ""the one on the left is the one",D
you can you can if this pen if you do not let it go that way you could make it print dotted line print dotted line,Be,"{""label"": ""Bs""}

Text: ""the thermal pen is a pen that",Bs
oh so you just have you just have one print out one,S,"{""label"": """"}


Text: ""so that you can test the pen""",D
one one nozzle dot touching,Be,"{""label"": """"}

Text: ""there is a one nozzle dot touching the",D
so I guess what you re saying is any mechanism,S,"{""label"": ""S""}


Text: ""so I guess what you re",S
you can have it switch on switch off one could be easy line and then you can switch it off so that,Bs,"{""label"": ""F""} 

Text: ""it is a pen that writes",F
you could,S,"{""label"": ""B""}

Text: ""if we could do that""
Label",D
write vary the angle to have different width of line,D,"{""label"": ""S""}


Text: ""so the pen needs to have",S
you could use it just so at the corner of the printer head,S,"{""label"": ""F""}

Text: ""we could use a single resistor or",F
well you could do that just electronically by activating one of the channels on the print heads,S,"{""label"": ""Bs""}

Text: ""well you could do that just electronically",Bs
write or do this electronically,D,"{""label"": """"} 

Text: ""we need to think of designs that",D
I think that is the way to do it because,S,"{""label"": ""F""}

Text: ""but I think the best way to",F
otherwise you can overheat the print head and might damage it,Bs,"{""label"": """"}

Text: ""we have to ensure that the print head",D
so part of the thing here is we need to erm hold it down,S,"{""label"": """"}

Text: ""so that the paper doesn't move around",D
otherwise it going to overheat as its firing if there is no where for the heat to go,Bs,"{""label"": ""Bs""}
Text: ""but it is not very common to",Bs
could we put erm can we detect the heat that the,S,"{""label"": ""S""}


Text: ""but we need to think about",S
and therefore switch it off,Be,"{""label"": ""S""}
Text: ""and therefore switch it off""
Label",S
or know what s going on,Be,"{""label"": ""S""}

Text: ""or know what is going on""",S
er that is only going to stop it getting dangerously hot,Be,"{""label"": ""S""}
Text: ""so I think the main idea is",S
all we need to do for print quality and performance and things,Be,"{""label"": """"}

Text: ""to provide a good print quality and performance",D
is to keep those dots on the paper when they re being fired,S,"{""label"": ""Bs""}

Text: ""the tip of the pen is made",Bs
the other thing which you will picture sort of erm to an extent that one as well is the actual steering erm is actually,F,"{""label"": ""Bs""}

Text: ""because the paper has to stay in",Bs
at the moment the hand steers it directly by making movements with the hand,Be,"{""label"": ""F""}
Text: ""the movement of the hand is smoothly",F
but if you had like a joystick,S,"{""label"": ""F""}
Text: ""that would be better""
Label (",F
that then moved the angle of the print head errm,Bs,"{""label"": """"}

Text: ""but it moved the angle of the print",D
that might work too but maybe a bit more expensive I suppose,Bs,"{""label"": ""Bs""}

Text: ""I suppose that is a good idea",Bs
I think the interesting thing is to use is as they steer that its built into the steering,Be,"{""label"": ""F""}
Text: ""but its also to do with the",F
actually tilts the whole body as it steers,Bs,"{""label"": ""Bs""}
Text: ""that is what it is"" →",Bs
so in order to maintain that angle,Bs,"{""label"": ""Bs""}

Text: ""so we could have a set of",Bs
write integrate the steering into angle like snowmobile,D,"{""label"": ""Bs""}
Text: ""write that the steering is a good",Bs
it compensates for the lean of the rider into the corner,Bs,"{""label"": """"}

Text: ""it is a high-performance thermal pen""",D
so it s flat,S,"{""label"": ""S""}


Text: ""it is a sledge""",S
so if we had something like that,S,"{""label"": ""B""}

Text: ""and it would have to be in",D
you could steer this angle of the pen as it moves to the other end,Bs,"{""label"": """"}


Text: ""it is one of the most important things",D
its taken us probably three places we can go we can either well its something you control,Be,"{""label"": """"}

Text: ""but its also about the media""
Label",D
or you take all the opportunities for control away from people apart from moving around,Be,"{""label"": ""F""}

Text: ""and the main thing is the user",F
and you make the pen or whatever it is do everything,Be,"{""label"": ""F""}

Text: ""and you make the pen or whatever",F
erm or we give some feedback erm,Be,"{""label"": """"}

Text: ""or the thing that is in contact with",D
so that people know when they re doing the right thing,Be,"{""label"": ""F""}

Text: ""to be able to write smoothly""",F
write feed back to user when doing it right,D,"{""label"": ""D""}

Text: ""so it is the interaction between the",D
erm or the last one is it is possible to hold it the wrong way,Be,"{""label"": """"}

Text: ""it is possible to hold it the wrong",D
but it forces you to hold it the right way possibly base on shapes,Be,"{""label"": ""Be""}

Text: ""so it is not just about the",Be
write make the shape so it can only be done one way,D,"{""label"": ""Bs""}

Text: ""one of the things that is important",Bs
well for the the third you can make it erm hard make it compliant to,Be,"{""label"": """"} 

Text: ""it is the the the thing that",D
I know I know what you re saying but it would be difficult,Bs,"{""label"": ""Be""}

Text: ""so it would be difficult for the",Be
because you would overheat the edge of the print head,Bs,"{""label"": ""Bs""}

Text: ""which is why it needs to be",Bs
if its not touching,S,"{""label"": """"}

Text: ""and if its not touching the surface it",D
but there could be some electronics maybe saying this end of the print heads overheating it must be touching at the other end,S,"{""label"": ""F""}

Text: ""but we have found that the thermal",F
so I shall switch this,S,"{""label"": """"}

Text: ""the idea is that the thermal printout",D
yeah probably there must be some way of detecting that,Be,"{""label"": ""B""}

Text: ""it is not about the size of",D
can I just explore that last one in a little more detail,Be,"{""label"": """"}

Text: ""can I just explore that last one in",D
because when organisations,Be,"{""label"": """"}

Text: ""of which the main part is""
Label",D
making sure they can only be correct in one way so the design and shape of the thing,S,"{""label"": ""Bs""}
Text: ""the main problem is that the user",Bs
so it can only be done in one way and that s the correct way,S,"{""label"": ""F""}
Text: ""so it can only be done in",F
because then there is less sort of learning to be done by the user and children I think if they are you know,Be,"{""label"": ""Bs""}

Text: ""and I think it is one of",Bs
if they don t get the results pretty quickly they will just give up on it erm,Be,"{""label"": ""Bs""}

Text: ""and the other thing is the print",Bs
so it would be quite good shape of,Be,"{""label"": ""Bs""}

Text: ""so it would be quite good shape",Bs
it would only let it work in one particular way,Be,"{""label"": ""Bs""}

Text: ""we have a lot of users who",Bs
you could build it in different ways so you could have it,S,"{""label"": ""Bs""}
Text: ""we need to make sure it is",Bs
so that there was only one way of doing it,Be,"{""label"": ""F""}

Text: ""and then it was the other one",F
but then err you can have switches on it so that supposing supposing it,S,"{""label"": ""Be""}
Text: ""that is the one that is the",Be
you have got the print head and three balls around it to support it,S,"{""label"": ""S""}
Text: ""one of the features of the thermal",S
with pressure sensors on those balls,S,"{""label"": ""Bs""}

Text: ""with the special paper and the thermal",Bs
so if the child presses harder it activates all the bearings,Bs,"{""label"": ""Bs""}

Text: ""the child is able to draw the",Bs
and prints out a very erm heavy line,Bs,"{""label"": ""}


Text: ""so it is the interaction between the special",D
but if the child does not press hard then you activate every other one,Be,"{""label"": ""Bs""}

Text: ""that is the reason we need to",Bs
so you get a faint line,Bs,"{""label"": ""Bs""}
Text: ""so you can draw a line""",Bs
write interaction between how child presses so activation of print head,D,"{""label"": ""Bs""}
Text: ""what s quite important is its about",Bs
so clears throat the actual kind of the erm the print head is isolated from what the child s doing,Be,"{""label"": ""F""}

Text: ""it s a erm the thing that",F
but the sensors,S,"{""label"": """"}

Text: ""but the sensors""
Label (JSON only",D
attend to what the child s doing,Bs,"{""label"": ""}

Text: ""it s a corner one""
Label (",D
and the thing responds accordingly,Be,"{""label"": ""F""}
Text: ""it is stable and consistent in its",F
and so you can trick the child into doing,Be,"{""label"": ""Bs""}
Text: ""that is a good point""
Label",Bs
and you could also make it so that even if the child s because erm clears throat its not direct you can make it sort of software,S,"{""label"": ""S""}


Text: ""so the pen is so that",S
so that even if the child s really uncoordinated basically you get a reasonable result,Be,"{""label"": ""F""}
Text: ""so that the child s really un",F
but if the child s very coordinated you can actually do some quite sophisticated things,Be,"{""label"": ""Bs""}
Text: ""but it s not something you would",Bs
you could even have sort of some feedback,F,"{""label"": ""D""}

Text: ""there is a certain level of precision",D
in terms of colour LEDs on the pen,S,"{""label"": ""Bs""}
Text: ""we can use a thermal printer""",Bs
saying that he s done a good or she s done a good job or,Be,"{""label"": ""F""}
Text: ""this is what it is"" →",F
that is a bit that is a bit peachy I think somehow,Bs,"{""label"": """"}

Text: ""it is not really easy to see""",D
yeah you know because i if they re doing something and it produces a result,Bs,"{""label"": """"}

Text: ""the pen needs to be able to write",D
