UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
hammers the batteries and its quite a demanding thing to do,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so technically the stuff where you have got a low percentage fill sort of faces and text and things like that is a lot more realisable,Be,"{""label"": ""N""} 

Please follow the same format for the following segments",N
but if we could do that with the media,S,"{""label"": ""N""} 

Explanation: The label 'N' is chosen",N
whether we could do that with this adaptation I don t know,Bs,"{""label"": ""N""} 

Please note that the text does not provide a",N
the one on the right the one on the right does not actually have to be a thermal pen it could just be,Be,"{""label"": ""N""} 

Note: The answer is not 'N'",N
it could be a soldering iron,S,"{""label"": ""<F|Be|Bs|S|D|N>",N
or a hot air,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
but basically th the focus is on that at the moment and basically th the idea is that there is a thermal print out in in the nib of the pen,Be,"{""label"": ""Bs""} 

Note: The label 'Bs' stands for",Bs
whichever shape that takes now with that concept,S,"{""label"": ""N""} 

Explanation:
The text does not describe a function",N
there are a number of specific problems that need to be overcome,Be,"{""label"": ""F""} 

Please explain your choice of label.
The label",F
so basically the first problem that we need to think about is the wobbly arm movement of the users,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
this is aimed at potentially but not exclusively at five to eleven years olds,F,"{""label"": ""Be""} 

Explanation:
The segment describes the target audience,",Be
who have some writing skill but not fantastic writing skill they re likely to hold the pen different ways errm different angles etcetera and,BS,"{""label"": ""Bs""} 

Explanation: The sentence contains a specific behaviour (",Bs
so ther there is two important things,Be,"{""label"": ""<your chosen label>""}

Note: This is a pilot version",N
one is with respect to that in this concept one is that that the printout needs to stay in contact with the thermal print paper to actual print,S,"{""label"": ""Be""} 

Explanation: The sentence describes the expected behaviour of",Be
so there needs to be this contact maintained,Be,"{""label"": ""F""} 

Explanation: The text states a purpose or goal",F
and the other thing is the printout needs to stay in the right angle to print as well,S,"{""label"": ""Bs""}


Segment:
The material of the pen is a",Bs
so we need to think of designs that actually erm help to do that,Be,"{""label"": ""F""} 

Segment:
The system is supposed to be able",F
even though the user is not capable of keeping exactly the right shape or weight,Be,"{""label"": ""Be""} 

Explanation: The user is unable to keep the",Be
is to come up with some ideas as to other products or situations where a product,Bs,"{""label"": ""F""} 

Segment:
to be made of a material that",F
needs to follow a contour,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
or needs to be able to adjust itself keeping itself in the same alignment,Be,"{""label"": ""Be""} 

Note: The answer is Be because the segment",Be
even thought the user might be moving things about did anybody come up with any ideas on that,Be,"{""label"": ""N""} 

Explanation: The segment is irrelevant to the task",N
is it only paper you re thinking about or could it be other things like mugs or fabric or pottery,S,"{""label"": ""N""} 

Please provide more examples.

Here are some examples",N
it could be anything,S,"{""label"": ""N""} 

Please provide the text: 
it could be",N
it could be anything,S,"{""label"": ""N""} 

Explanation: The segment is unclear and does not",N
yeah I guess it could be all those,S,"{""label"": ""N""}


Segment:
The paper is too big for the",N
I ended up with the hold on sledge,S,"{""label"": ""S""}


Segment:
The new 3D printer has",S
the sledge excellent,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
write sledge,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so what did that generate then,Bs,"{""label"": ""N""} 

Please let me know if this is correct or",N
the sledge manages to keep level,BS,"{""label"": ""Bs""} 

Explanation: The text describes the behaviour of the",Bs
by having quite a wide base,S,"{""label"": ""S""} 

Explanation: The segment describes the physical property of",S
write wide base,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
a main force in the middle,BS,"{""label"": ""<F|Be|Bs|S|D|N>""",N
unlike the set of skis,S,"{""label"": ""N""} 

Explanation: The segment doesn’t fit into any",N
where quite narrow and you go up on an edge when you re turning,Bs,"{""label"": ""Bs""} 

Explanation:
This sentence describes a behaviour that is",Bs
the sledge is er quite broad,S,"{""label"": ""S""} 

Segment:
the pen is very smooth

JSON",S
and then you have the weight right in the middle so they manage to keep both runners on the snow,BS,"{""label"": ""Bs""}


Segment:
The printer has a good reputation for",Bs
write force in middle,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
more often than say a sledge or a snowboard a skis or snowboard,S,"{""label"": ""Be""}


Segment:
the way you would describe a snow",Be
so so would you potential see some some some guiders almost down the side of this,S,"{""label"": ""N""} 

Explanation: The segment is irrelevant and does not",N
well I guess the easiest way to keep the pen at a right angle would be,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
to have a set of stabilisers on it,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
based on the idea of a sledge,Be,"{""label"": ""S""} 

Explanation: The segment describes the structure of the",S
yeah no problem stabilisers like a bicycle yeah that is a good idea,S,"{""label"": ""Bs""} 

Explanation:'stabilisers' implies that",Bs
write stabiliser,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
I was thinking that is sort of maybe like a flat base with a sort of universal joint like a windsurf mast,S,"{""label"": ""Bs""} 

Please provide the explanation for the label you chose",Bs
yeah write Universal base ,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
if the is like this it stays flat but the bit you hold onto can be at,Bs,"{""label"": ""Bs""} 

Explanation: The text describes a behaviour (st",Bs
different angles,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
I guess the size of the thing in contact with the paper you could either have a very small contact area,S,"{""label"": ""S""} 

Please note that the description is not in the",S
and er track where it goes or you can have a wide contact area,S,"{""label"": ""Bs""}


Explanation: 'wide contact area' is a",Bs
show the relative size of the pen clears throat if you have got an example because that is,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
look at the end of that,S,"{""label"": ""N""} 

Explanation: The segment is unrelated to the purpose",N
size is dictated by cost really it needs to be quite narrow,S,"{""label"": ""<F|Be|Bs|S|D|N>",N
I imagine it to be that,S,"{""label"": ""N""} 

Explanation:
The label 'N' is chosen",N
could be a that way,S,"{""label"": ""N""} 

Explanation: The text describes a possible state or",N
lets just use that as guidance but let us,S,"{""label"": ""Bs""}


Please provide your answer as per the provided guidelines",Bs
tip of that,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
rather than the rest I would suggest,S,"{""label"": ""Bs""}


Explanation:
The 'rather than' phrase indicates",Bs
it can be te ten mil across,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
it s a erm its not an edge one then it s a it s a on the flat there,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
are two flats printing are not there more than one,S,"{""label"": ""N""} 

Explanation: The segment is vague and does not",N
one,S,"{""label"": ""N""} 

Segment:
two

JSON answer: {""label",N
while drawing if I where yeah the resistors sit on the lump there,S,"{""label"": ""Bs""} 

Explanation: The sentence describes a specific condition that",Bs
draw refE1_15 Flipchartjpg top 1,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and you have got the type where the resistors sit on this corner here,S,"{""label"": ""Bs""} 

Please explain your choice.
The segment describes the",Bs
draw refE1_15 Flipchartjpg top 2,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
it s a corner one,S,"{""label"": ""N""} 

Explanation: 'it s a corner one'",N
it s a corner one,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
no its not cheap,Bs,"{""label"": ""N""} 

Note: The label set also includes 'D",N
it ll be about fifty percent more expensive,Bs,"{""label"": ""F""} 

Explanation: The text states a purpose/goal",F
yes this there is an end,S,"{""label"": ""S""} 

Explanation: The segment clearly describes a physical entity",S
there is an end that goes over the paper is not there is sort of thing,Be,"{""label"": ""N""} 

Explanation: The text does not describe a part",N
there is a type that does this as well though,S,"{""label"": ""N""} 

Explanation: The segment clearly does not fit into",N
draw refE1_15 Flipchartjpg middle overlap left,D,"{""label"": ""S""}


Explanation:
The segment describes the position of an",S
but they type that we have got is like this but in actual fact its much more biased towards the edge,S,"{""label"": ""Bs""} 

Explanation: The segment talks about how the text",Bs
so you normally have a a slight angle here,S,"{""label"": ""Bs""} 

Explanation: The segment describes the angle caused by",Bs
right so easiest thing obviously draws on flip chart,S,"{""label"": ""Bs""} 

Explanation: 'flip chart' is a specific",Bs
yeah the the typically what you do is you have got foil going over and,S,"{""label"": ""Bs""} 

Explanation: The text describes the expected behaviour of",Bs
you get quite a lot you know you can have quite a lot of angle there,S,"{""label"": ""Bs""} 

Explanation: 'angle' is explicitly caused by",Bs
draw angle,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so we were talking mostly about that one or that one,S,"{""label"": ""N""} 

Explanation: The segment is irrelevant, as it",N
that one sort of plus or minus,S,"{""label"": ""N""} 

Explanation: The segment doesn’t match any of",N
all these you have to keep flat or long,S,"{""label"": ""Bs""}


Segment:
This is the part that you have",Bs
its just its just whether we need flat or long,S,"{""label"": ""N""} 

Explanation: The text does not describe a function",N
both axes,S,"{""label"": ""S""} 

Explanation:
The segment is describing the structure of",S
both axes,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
yeah I think we do well we need guidance on both axes whichever way,S,"{""label"": ""N""} 

Explanation: The sentence does not describe a function",N
you do it I think,S,"{""label"": ""N""} 

Explanation: The text does not describe a function",N
you have like you have like a hot ball a hot ball like a ball point pen,S,"{""label"": ""Bs""} 

Explanation:
The hot ball is like a hot",Bs
draw circle draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""} 

Explanation:
The label S is chosen because the",S
and then you had a tracker like an optical mast then,S,"{""label"": ""Bs""} 

Reasoning: The tracker was like an optical",Bs
draw box draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""} 

Explanation:
- The segment is a description of",S
I think that picture where you re moving a pen across the paper in sort of patterns repeating patterns,Be,"{""label"": ""<F|Be|Bs|S|D|N>",N
instead of doing it all in one go like a wide printer would do it will just do a thin line at a time,Bs,"{""label"": ""Bs""} 

Explanation: The text mentions that the printer will",Bs
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
but when you scribble backwards and forwards it,Bs,"{""label"": ""N""} 

Segment:
The 3D printer has a",N
would build up and use that tracking capability to do that,Bs,"{""label"": ""F""} 

Explanation: The text states a purpose/goal",F
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""N""}


Explanation: The text is irrelevant to the task",N
and you would not have the angle problem,S,"{""label"": ""Bs""} 

Explanation: The segment implies that the pen has",Bs
yeah the problem is that printing on the ball,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
we thought the ball could just be you could just sort of turn it off and on,Bs,"{""label"": ""N""} 

Explanation:
The segment is an example of a",N
so its like instead of being a unclear speech overlapping thing,S,"{""label"": ""N""} 

Please select one of the following options:

A",N
there is a bit of that OK,S,"{""label"": ""S""} 

Explanation: 
Segment is describing the presence of",S
well I suppose you could make the width of the print very very small,S,"{""label"": ""N""}


Segment:
The feed roller is very stiff.",N
we ve done that ,S,"{""label"": ""N""} 

Explanation: The segment clearly does not fit any",N
we did that,S,"{""label"": ""N""} 

Explanation: No clear purpose/goal (F",N
with the dots though very very small,S,"{""label"": ""S""} 

Please explain your choice of label.
The given",S
you can only they ve got such low they will last thermal mass,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
you heat them up very very briefly and then,Bs,"{""label"": ""Bs""} 

Explanation: This segment describes the behaviour of heating",Bs
they ll go cold again,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
probably why you get spots appearing on the second one erm,Bs,"{""label"": ""N""} 

Note: The answer is ""N"" because",N
but you can make it,S,"{""label"": ""Bs""} 

Explanation:
The sentence describes a change in behaviour",Bs
clears throat erm at the moment what we have got available for a demonstrator is one of the types on the left,S,"{""label"": ""N""} 

Explanation:
The text is not describing a part",N
so we do have this constraint of what that angle needs to be ,Bs,"{""label"": ""F""} 

Explanation: The text describes a constraint on the",F
so that is going to,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
that angle here,S,"{""label"": ""S""} 

Note: The label 'D' is not",S
yes that is going to limit us for the time being,Be,"{""label"": ""N""} 

Please review the text to determine the label.",N
we could open up more options by going for alternatives,S,"{""label"": ""Be""} 

Explanation: The sentence suggests that going for alternatives",Be
or whatever that would be good so you just mentioned how windsurfs have sort of a base,S,"{""label"": ""Bs""} 

Explanation: This is the behaviour from structure,",Bs
to keep the to hold on to rather than actual hands are stabilised like a platform,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
Sarah refers to a photograph,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
a man s shaver,S,"{""label"": ""S""} 

Please explain why this answer was chosen.

The",S
that has an angle joint,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and a guidance for your fingers,S,"{""label"": ""Be""}


Explanation: The segment describes the expected behaviour of",Be
and similar to the windsurf,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
I mean it only moves in one axis,Bs,"{""label"": ""S""} 

Please provide the segment description and the corresponding JSON",S
rather than round,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
it does not its almost flat is not it I suppose,S,"{""label"": ""N""} 

Please follow the labelling guidelines. 
If",N
yeah it does not move that way I do not think,Bs,"{""label"": ""N""} 

Explanation: The sentence is expressing a negative opinion",N
cos you want to keep flat on the paper all the time,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
does the razor stay flat though,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
because the centre piece is much,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
I am not sure whether it does completely stay flat I think there might be a little bit of a plain,S,"{""label"": ""N""} 

Please provide your label for the following segments:",N
but its main axis is is that the razor has is that way I think,Bs,"{""label"": ""N""}


Segment:
The razor's blade is very sharp",N
write razor,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
if I if I remember correctly from I don t know about this but from the other razors each blade has like a little spring down each side,S,"{""label"": ""Bs""} 

Please explain the text. 
The text describes",Bs
which means each blade can independently of housing can move that way a little bit as well cant it so that is,Bs,"{""label"": ""F""} 

Segment:
The system will use the same algorithm",F
draw E1_7 Sketckjpg,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
how s that achieved that,S,"{""label"": ""Bs""} 

Explanation: The text describes how a certain behaviour",Bs
is that is that achieved by a plastic,S,"{""label"": ""S""}


Segment:
is that is that achieves

JSON",S
that is bendable or is it,Bs,"{""label"": ""N""} 

Explanation:
The segment is vague and does not",N
no it s a spring is not it,S,"{""label"": ""N""} 

Please let me know if this is correct.",N
a spring that goes to surface,S,"{""label"": ""<F|Be|Bs|S|D|N>",N
it pivots,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
write spring pivot,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
there is f five of the razors is not there,S,"{""label"": ""N""} 

Explanation: The segment clearly does not fit any",N
I have brought some examples along there is one with a single spring in the centre there,S,"{""label"": ""Bs""} 

Explanation: The word ""spring"" in the",Bs
and then there is one,S,"{""label"": ""<your label>""}

Do not forget to follow the guidelines.",N
these are electric ones yeah,S,"{""label"": ""N""} 

Explanation: 
The text does not describe a",N
these are electric razors and so this is,S,"{""label"": ""F""}


Segment:
that are electric razors and so",F
slightly more expensive version that is got a spring either side,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
yeah to give you that adjustment it slides on the surface,Bs,"{""label"": ""Bs""} 

Explanation: The segment describes how the pen slides",Bs
they do yeah there is its one with the foils basically because on this the foil is sprung this one is well no,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
the foil will run through rubbers and it uses the the cutting edge that is sprung,Bs,"{""label"": ""<F|Be|Bs|S|D|N>",N
erm there is a point here,Be,"{""label"": ""N""} 

Please provide the segment with the corresponding label and",N
as well that erm do we need to keep because this will keep an even well a relatively constant pressure won t it,Be,"{""label"": ""N""} 

Explanation: 
The text contains a mix of",N
and you could also you could add a switch to this,S,"{""label"": ""N""} 

Explanation:
The segment does not describe a clear",N
so you could switch it on and off,Bs,"{""label"": ""F""} 

Segment:
This paper is not intended to be",F
yeah but I think there are other things that we might like to do as well because,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
it might control the force on the print heads and make sure it comes on how you want it to,Be,"{""label"": ""F""} 

Explanation: The label is 'F' because",F
so is that what you call a gimble,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
gimbles are normally three dimensional,S,"{""label"": ""S""} 

Explanation: The segment describes a structure, i",S
I ve got another one,S,"{""label"": ""N""} 

Reasoning:
The segment is off-topic and",N
it builds on another one,S,"{""label"": ""Bs""} 

Explanation: 
- 'it builds on'",Bs
and it goes faster,Bs,"{""label"": ""N""}


Segment:
A new material is being developed to",N
but as well its erm one of the things about this is that you have got the main lump,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and then you have got steering piece towards the front which is banging near microphone drowns speech,S,"{""label"": ""Bs""} 

Explanation: The segment is describing a behaviour that",Bs
so you have got,Bs,"{""label"": ""<F|Be|Bs|S|D|N>",N
I guess you have kind of got the main unit that has got all the power and weight in it,S,"{""label"": ""<F|Be|Bs|S|D|N>",N
and then erm the flexible bit that does the steering,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
write snow mobile ,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
draw E1_7 Sketckjpg,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
where I know we re talking about a pen,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and you immediately think about something that is this sort of shape that you can hold in your hand like that,Bs,"{""label"": ""S""} 

Explanation:
The sentence describes the shape of an",S
but considering we re talking about toys in effect for children,Be,"{""label"": ""N""} 

Please provide the ""for children"" segment.",N
could it be something that takes more of the shape of a of a train with,S,"{""label"": ""S""} 

Please let me know if this is correct or",S
something else that gets pulled behind it for example,Be,"{""label"": ""N""} 

Explanation: There is no clear purpose, expected",N
like a drag on,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
something that is much more of a quite a different shape that,S,"{""label"": ""Bs""} 

Explanation: The sentence compares two things, describing",Bs
does not require them to have that difficult sort of hold,Be,"{""label"": ""N""} 

Please follow the instructions. I will provide the",N
things in place like this erm,S,"{""label"": ""N""} 

Explanation: The text does not describe any function",N
because that is one of the challenges children have is not it,Be,"{""label"": ""N""} 

Explanation: The text does not fit any of",N
holding the pen at the right angle,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
that is probably one of the things you want to teach a child though is not,F,"{""label"": ""N""} 

Note: The label 'D' is not",N
yeah well you could take all of the difficult stuff off them and make it happen,Bs,"{""label"": ""N""} 

Reasoning: The sentence does not fit any",N
all that they will do is move the lump around,Be,"{""label"": ""N""} 

Explanation: The text does not fit any of",N
write move lump,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so you will teach them how to move a mouse about,F,"{""label"": ""F""}


Segment:
The students were unable to move the",F
if there is a skill in that there is a sense of achievement,F,"{""label"": ""F""} 

Explanation: The text implies a sense of accomplishment",F
we could have like a mouse rather than a pen,S,"{""label"": ""N""} 

Explanation: The text does not fit into any",N
that could just be a different starting point,Be,"{""label"": ""N""} 

Explanation: The segment does not clearly fit any",N
write mouse type pen,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
all they have to do is put it on the table then move it around,Be,"{""label"": ""N""} 

Explanation:
The text doesn't clearly describe a",N
and it does everything else,Be,"{""label"": ""Be""}


Segment:
A material that is not commonly used",Be
I was thinking a different media than just a flat piece of paper,S,"{""label"": ""N""} 

Segment:
It is a 5-in-",N
a pens quite a nice sort of you know to get round angles and,Bs,"{""label"": ""Bs""} 

Explanation:
- The sentence is talking about the",Bs
do you think a mouse would allow you to apply that constant force that we need for this though,Bs,"{""label"": ""N""} 

Explanation: The text does not fit into the",N
I don t see why not I mean as long as the force is not going to push the mouse into the table then gravity should be on your side should not it,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
can I just clarify that you mean for the main lump to have all the sort of the weighty bits like the batteries and electronics and things like that or the that way,S,"{""label"": ""Bs""} 

Explanation:
The user is asking about the expected",Bs
I was not really being that prescriptive,S,"{""label"": ""N""} 

Please explain your choice. 
The sentence is",N
if you ever go without it s not too bad but,F,"{""label"": ""S""}


Segment:
if you ever go without it s",S
the means of a toy I have a quick problem because well I do not know,F,"{""label"": ""N""} 

Explanation: The segment does not fit into any",N
like a ghost err it is a little ghost it s about you know an inch high,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
draw it,S,"{""label"": ""N""} 

Explanation: The segment does not fit any of",N
draw refDocumentE1_3Sketchjpg top left 2 sketches,D,"{""label"": ""S""} 

Explanation:
The segment describes the location of a",S
what its got inside is its got errr and I can t remember exactly what its got inside its got a rubber err a wheel,S,"{""label"": ""N""} 

Explanation: The text does not clearly fit any",N
draw refDocumentE1_3Sketchjpg top left 2nd sketch,D,"{""label"": ""S""} 

Explanation:
The segment describes a sketch, not",S
which printed on it has a little erm,Bs,"{""label"": ""N""} 

Explanation: This is an off-topic or irrelevant",N
I don t know why I am telling you all this because its not really,BS,"{""label"": ""N""} 

Explanation: The segment is irrelevant and does not",N
oh yeah yeah yeah yeah yeah you mean one of those foot print things,Bs,"{""label"": ""N""} 

Explanation: The text clearly does not fit any",N
its got its got little footprints,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
rotating,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
yeah it s a self and yeah its got a pad an inky pad here and he,S,"{""label"": ""Bs""} 

Explanation: The'self' is likely referring",Bs
does that go all over the walls and everything,Bs,"{""label"": ""N""} 

Explanation: The segment does not fit into any",N
you walk it along a page,Bs,"{""label"": ""Be""} 

Explanation: The segment describes a user action with",Be
and it makes footprints,Bs,"{""label"": ""N""} 

Explanation: The text does not describe a function",N
that is interesting cos I was thinking pastry brush you know how pastry has,S,"{""label"": ""<F|Be|Bs|S|D|N>",N
and white line machines,S,"{""label"": ""S""}


Explanation:
- The segment does not describe any",S
but I could not think of anything that quite tied into this but the idea of a wheel,Bs,"{""label"": ""N""} 

Explanation: The segment is vague and does not",N
pushing a wheel along,Bs,"{""label"": ""<F|Be|Bs|S|D|N>""",N
that is a obviously this is a mechanical way of doing what we re talking about,S,"{""label"": ""S""} 

Please let me know if I applied the guide",S
so it could the thing could look like erm like a character could not it,Be,"{""label"": ""N""} 

Note: The given text is a pilot text",N
I guess this idea Tom was that this is the print head here,S,"{""label"": ""N""} 

Please explain your choice. 
The text does",N
draw refDocumentE1_3Sketchjpg middle bottom circle,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and this quite a wide like a caravan is that angles that can hold that to feel it because,S,"{""label"": ""N""} 

Please explain your choice.

The provided segment is",N
draw u to represent print head and caravan,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
if you know if he goes crr crrr mimics scraping noise then this digs into the paper,Be,"{""label"": ""Bs""} 

Explanation: The behaviour (digging into the",Bs
draw refDocumentE1_3Sketchjpg middle bottom arrow represents digs into the paper,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so you could even have three wheels could not you three small wheels to sort of drive it,S,"{""label"": ""N""} 

Explanation: The text is not describing a function",N
write wheels to guide,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
draw refDocumentE1_3Sketchjpg middle circle,D,"{""label"": ""S""} 

Explanation:
The segment is describing the structure (",S
and you could have a cross section it could be kind of kind of like this,S,"{""label"": ""S""} 

Explanation: The description focuses on the physical structure",S
draw refDocumentE1_3Sketchjpg middle m,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so you can look down here and you can see a hole with the print head in it,S,"{""label"": ""<F|Be|Bs|S|D|N>""",N
so see where you re going,Bs,"{""label"": ""N""} 

Explanation:
The sentence describes the user's visual",N
draw refDocumentE1_3Sketchjpg middle details,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
you could stick three ball bearings in here and,S,"{""label"": ""Bs""} 

Explanation:
You could stick three ball bearings in",Bs
draw refDocumentE1_3Sketchjpg middle 3 circles within circle,D,"{""label"": ""<F|Be|Bs|S|D|N>""",N
and just roll around on the surface,Bs,"{""label"": ""N""} 

Explanation: The segment does not describe a clear",N
you put in holes to see where your feet are going,S,"{""label"": ""S""}


Segment:
The steel barrel is a key part",S
its just so you could acquire lots of stuff where you re actually marking,Bs,"{""label"": ""N""} 

Segment: the most important thing is that it",N
yeah its sort of it s a compromise between erm here with a pen,Be,"{""label"": ""<F|Be|Bs|S|D|N>",N
you want to see what you re doing don t you you want to see,Be,"{""label"": ""N""}


Segment:
It needs to print legibly at",N
but with this type of toy you don t do you,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
probably aware pattern appears as an edge so you can go right up to,Bs,"{""label"": ""Bs""} 

Explanation: 'edge' is the explicit cause",Bs
rather that the middle of something big if its big than it does not matter much so long as its at an edge of the big thing where the,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
but even with paper suppose you could still get to it its not like hoovering a room when you can t get to an edge is it,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
it becomes more complex to the user as well you can rotate it so you can get to this corner or,Bs,"{""label"": ""Bs""} 

Reasoning: The segment describes how the user",Bs
rotate it to get to that one,Be,"{""label"": ""<F|Be|Bs|S|D|N>""",N
